ad_item_name,raw_ad_text,page_number,notes
Shrimp Alfredo,Shirley Steaver Shrimp Scampi or Shrimp Alfredo 5.55 Member Price,2,food-like ad text with no watchlist match
Echo Falls Smoked Salmon,Echo Falls Smoked Salmon 14.99 Member Price,2,food-like ad text with no watchlist match
Sugifree Apples,Sugifree Apples 2.99 lb Member Price,2,food-like ad text with no watchlist match
Green,Green or Red Seedless Grapes 4.99 lb Member Price,2,food-like ad text with no watchlist match
Red Seedless Grapes,Green or Red Seedless Grapes 4.99 lb Member Price,2,food-like ad text with no watchlist match
USDA Organic Strawberries,USDA Organic Strawberries 4.99 lb Member Price,2,food-like ad text with no watchlist match
La Terra Fina Dip,La Terra Fina Dip or Tortilla Chips 3.99 Member Price,2,food-like ad text with no watchlist match
Tortilla Chips,La Terra Fina Dip or Tortilla Chips 3.99 Member Price,2,food-like ad text with no watchlist match
Artisan Garlic Bread,Artisan Garlic Bread 2.99 Member Price,2,food-like ad text with no watchlist match
Cheesecake Platter Selected varieties,Cheesecake Platter Selected varieties 21.99 Member Price,2,food-like ad text with no watchlist match
Waterfront Bistro Shrimp Ring 32 oz.,Waterfront Bistro Shrimp Ring 32 oz. 19.99 ea Member Price,3,food-like ad text with no watchlist match
Mission Tortilla Chips 13 oz.,Mission Tortilla Chips 13 oz. 2.49 ea Member Price,3,food-like ad text with no watchlist match
Signature SELECT Bread 20 oz.,Signature SELECT Bread 20 oz. 2.49 ea Member Price,3,food-like ad text with no watchlist match
Philadelphia Cream Cheese 8 oz.,Philadelphia Cream Cheese 8 oz. 2.49 ea Member Price,3,food-like ad text with no watchlist match
"Oikos, Dannon, or Light + Fit Greek Yogurt 4-5.3 oz. Selected varieties.","Oikos, Dannon, or Light + Fit Greek Yogurt 4-5.3 oz. Selected varieties. 3.49 ea Member Price",3,food-like ad text with no watchlist match
Kraft Shredded Cheese 6-8 oz.,Kraft Shredded Cheese 6-8 oz. 4.99 ea Member Price,3,food-like ad text with no watchlist match
"Poppi Soda 6 pack, 12 oz. cans.","Poppi Soda 6 pack, 12 oz. cans. 4.99 ea Member Price",3,food-like ad text with no watchlist match
Foster Farms Fresh & Natural Chicken Leg Quarters,Foster Farms Fresh & Natural Chicken Leg Quarters Sold in a 10-lb. bag at $9.90 ea. Member Price. 99¢ lb Member Price,4,food-like ad text with no watchlist match
Signature SELECT Beef Patties,Signature SELECT Beef Patties 15.99 Member Price,4,food-like ad text with no watchlist match
Strawberries Large Pack,Strawberries Large Pack $5 ea Member Price,4,food-like ad text with no watchlist match
Fresh Atlantic Salmon Portion,Fresh Atlantic Salmon Portion $5 ea Member Price,4,food-like ad text with no watchlist match
Nathan's,Nathan's Make your cookouts FAMOUS. 100% BEEF,5,food-like ad text with no watchlist match
Pringles Chips,Pringles Chips or Cheez-It Crackers 12-ct. Kellogg's Rice Krispies Treats or Nutri Grain Bars 16-ct. 12-ct. 16-ct. 4.99 ea Member Price,6,food-like ad text with no watchlist match
Cheez-It Crackers 12-ct. Kellogg's Rice Krispies Treats,Pringles Chips or Cheez-It Crackers 12-ct. Kellogg's Rice Krispies Treats or Nutri Grain Bars 16-ct. 12-ct. 16-ct. 4.99 ea Member Price,6,food-like ad text with no watchlist match
Nutri Grain Bars 16-ct.,Pringles Chips or Cheez-It Crackers 12-ct. Kellogg's Rice Krispies Treats or Nutri Grain Bars 16-ct. 12-ct. 16-ct. 4.99 ea Member Price,6,food-like ad text with no watchlist match
CHIPS AHOY!,CHIPS AHOY! SNACK GOALS MAKE EVERY GAME DAY SWEETER EARN 4X POINTS,6,food-like ad text with no watchlist match
"KINDER'S RUB BUTTERY STEAKHOUSE, KINDER'S SEASONING THE BLEND SALT, PEPPER & GARLIC","KINDER'S RUB BUTTERY STEAKHOUSE KINDER'S SEASONING THE BLEND SALT, PEPPER & GARLIC",6,food-like ad text with no watchlist match
Knudsen Cottage Cheese,Knudsen Cottage Cheese 16-oz. Selected varieties. 2$ for $6 Member Price,7,food-like ad text with no watchlist match
Clover Organic Milk,"Clover Organic Milk 5.99 Member Price Selected varieties, 96 oz.",8,food-like ad text with no watchlist match
Fage Yogurt,Fage Yogurt 32-oz. 5.99 ea Member Price,8,food-like ad text with no watchlist match
Darigold Chocolate,Darigold Chocolate or Fit Milk Cottage Cheese 4.99 Member Price Selected varieties,8,food-like ad text with no watchlist match
Fit Milk Cottage Cheese,Darigold Chocolate or Fit Milk Cottage Cheese 4.99 Member Price Selected varieties,8,food-like ad text with no watchlist match
Post Cereal,Post Cereal 10 to 16.6-oz. 1.99 When you Buy 4,8,food-like ad text with no watchlist match
Honeycrisp Apples,Honeycrisp Apples 2.99 Member Price,10,food-like ad text with no watchlist match
"Betty Crocker Suddenly Salad Pasta Salad Kit, 6.2-7.75 oz. Selected varieties.","Betty Crocker Suddenly Salad Pasta Salad Kit, 6.2-7.75 oz. Selected varieties. 2 for $5 Member Price",10,food-like ad text with no watchlist match
De Cecco Pasta Selected varieties.,De Cecco Pasta Selected varieties. 2 for $6 Member Price,10,food-like ad text with no watchlist match
Maille Cornichons Selected varieties.,Maille Cornichons Selected varieties. 5.99 Member Price,10,food-like ad text with no watchlist match
Ice Cream,Ice Cream 6.99 Member Price,10,food-like ad text with no watchlist match
Chosen Foods 100% Pure Avocado Oil 16.9 fl. oz.,Chosen Foods 100% Pure Avocado Oil 16.9 fl. oz. 10.99 Member Price DIGITAL COUPON,10,food-like ad text with no watchlist match
Sargento String Cheese 9-12 oz. Selected varieties.,Sargento String Cheese 9-12 oz. Selected varieties. 3.99 Member Price DIGITAL COUPON,10,food-like ad text with no watchlist match
Kinder Joy Egg 0.7 oz. Selected varieties.,Kinder Joy Egg 0.7 oz. Selected varieties. $1.99 Member Price,12,food-like ad text with no watchlist match
General Mills Cereal 8.9 to 12 oz.,General Mills Cereal 8.9 to 12 oz. Betty Crocker Fruit Snacks 5 to 8 ct. Chex Cereal 12 oz. Nature Valley Bars 5 to 6 ct. Selected varieties. 1.99 ea Member Price,3,food-like ad text with no watchlist match
Betty Crocker Fruit Snacks 5 to 8 ct.,General Mills Cereal 8.9 to 12 oz. Betty Crocker Fruit Snacks 5 to 8 ct. Chex Cereal 12 oz. Nature Valley Bars 5 to 6 ct. Selected varieties. 1.99 ea Member Price,3,food-like ad text with no watchlist match
Chex Cereal 12 oz.,General Mills Cereal 8.9 to 12 oz. Betty Crocker Fruit Snacks 5 to 8 ct. Chex Cereal 12 oz. Nature Valley Bars 5 to 6 ct. Selected varieties. 1.99 ea Member Price,3,food-like ad text with no watchlist match
Ice Cream For Bears 14-oz.,"Ice Cream For Bears
14-oz. Selected varieties. 14-oz. 6 99 Member Price",10,food-like ad text with no watchlist match
