ad_item_name,raw_ad_text,page_number,notes
Artisan Garlic Bread,Artisan Garlic Bread 2.99 Member Price,2,food-like ad text with no watchlist match
Jon Donaire Cheesecake,Jon Donaire Cheesecake 20.99 Member Price,2,food-like ad text with no watchlist match
Applegate Farms Bacon,Applegate Farms Bacon Selected varieties. 8 oz. 5.99 ea Member Price,3,food-like ad text with no watchlist match
Open Nature* Atlantic Salmon Fillets,Open Nature* Atlantic Salmon Fillets Farm Raised. 2 lb. bag. 24.99 ea Member Price,3,food-like ad text with no watchlist match
Nature's Own Crafted Bread,Nature's Own Crafted Bread Selected varieties. 20 oz. 2.99 ea Member Price,3,food-like ad text with no watchlist match
Lucerne® Shredded,Lucerne® Shredded or Chunk Cheese Selected varieties. 6-8 oz. 2.99 ea Member Price,3,food-like ad text with no watchlist match
Chunk Cheese,Lucerne® Shredded or Chunk Cheese Selected varieties. 6-8 oz. 2.99 ea Member Price,3,food-like ad text with no watchlist match
Lactaid Milk,Lactaid Milk Selected varieties. 64 oz. 3.99 ea Member Price,3,food-like ad text with no watchlist match
Guerrero Corn Tortillas,Guerrero Corn Tortillas 80 ct. 2.49 ea Member Price,3,food-like ad text with no watchlist match
Pepperidge Farm Goldfish Crackers,Pepperidge Farm Goldfish Crackers Selected varieties. 6.1-8 oz. 3.49 ea Member Price,3,food-like ad text with no watchlist match
Tillamook Farmstyle Thick Cut Cheese,Tillamook Farmstyle Thick Cut Cheese Selected varieties. 7 oz. 3.99 ea Member Price,3,food-like ad text with no watchlist match
Land O Lakes Butter,Land O Lakes Butter Selected varieties. 15-16 oz. 3.49 ea Member Price,3,food-like ad text with no watchlist match
"Cheez-It Crackers, Chex Mix, Bugles, Gardetto's, Nature Valley Crunchy Granola Bars, Fiber One Bars, Betty Crocker Fruit Snacks, Fruit by the Foot, Fruit Gushers, Fruit Roll-Ups, Mott's Fruit Flavored Snacks","Cheez-It Crackers, Chex Mix, Bugles, Gardetto's, Nature Valley Crunchy Granola Bars, Fiber One Bars, Betty Crocker Fruit Snacks, Fruit by the Foot, Fruit Gushers, Fruit Roll-Ups, Mott's Fruit Flavored Snacks, or Cheetos Mac'n Cheese Selected varieties. 4.5-8.94 oz. 2.49 ea Member Price Earn 4X Points!",3,food-like ad text with no watchlist match
Cheetos Mac'n Cheese,"Cheez-It Crackers, Chex Mix, Bugles, Gardetto's, Nature Valley Crunchy Granola Bars, Fiber One Bars, Betty Crocker Fruit Snacks, Fruit by the Foot, Fruit Gushers, Fruit Roll-Ups, Mott's Fruit Flavored Snacks, or Cheetos Mac'n Cheese Selected varieties. 4.5-8.94 oz. 2.49 ea Member Price Earn 4X Points!",3,food-like ad text with no watchlist match
"Ritz Crackers or Toasted Chips, Nabisco Snack Crackers","Ritz Crackers or Toasted Chips, Nabisco Snack Crackers Selected varieties. 7.1-13.7 oz. 2.49 ea Member Price Earn 4X Points!",3,food-like ad text with no watchlist match
"Skinny Pop Popcorn, Pirate's Booty, Angie's Boom Chicka Pop, Popcorners","Skinny Pop Popcorn, Pirate's Booty, Angie's Boom Chicka Pop, Popcorners, or Sensible Portions Veggie Straws Selected varieties. 4-7 oz. 3.49 ea Member Price Earn 4X Points!",3,food-like ad text with no watchlist match
Sensible Portions Veggie Straws,"Skinny Pop Popcorn, Pirate's Booty, Angie's Boom Chicka Pop, Popcorners, or Sensible Portions Veggie Straws Selected varieties. 4-7 oz. 3.49 ea Member Price Earn 4X Points!",3,food-like ad text with no watchlist match
Signature SELECT™ Beef Patties,Signature SELECT™ Beef Patties 40 oz 14.99 Member Price,4,food-like ad text with no watchlist match
Signature SELECT® Ice Cream Sandwiches 12 ct,Signature SELECT® Ice Cream Sandwiches 12 ct or Bars 6-12 ct 3.49 Member Price,4,food-like ad text with no watchlist match
Bars 6-12 ct,Signature SELECT® Ice Cream Sandwiches 12 ct or Bars 6-12 ct 3.49 Member Price,4,food-like ad text with no watchlist match
"St. Louis Style Chicken Wings Hot, BBQ","St. Louis Style Chicken Wings Hot, BBQ or Teriyaki, 5 lb. Sold Hot in Service Deli. Asian Classic Salad 5.00 ea Member Price",4,food-like ad text with no watchlist match
"Teriyaki, 5 lb. Sold Hot in Service Deli. Asian Classic Salad","St. Louis Style Chicken Wings Hot, BBQ or Teriyaki, 5 lb. Sold Hot in Service Deli. Asian Classic Salad 5.00 ea Member Price",4,food-like ad text with no watchlist match
Foster Farms Chicken Party Wings 40 oz,Foster Farms Chicken Party Wings 40 oz 5.00 ea Member Price,4,food-like ad text with no watchlist match
Fresh Atlantic Salmon Portion,Fresh Atlantic Salmon Portion 5.00 ea Member Price,4,food-like ad text with no watchlist match
"Sara Lee Bagels, English Muffins","Sara Lee Bagels, English Muffins or Artesano Bread 2 for $5 Member Price",4,food-like ad text with no watchlist match
Artesano Bread,"Sara Lee Bagels, English Muffins or Artesano Bread 2 for $5 Member Price",4,food-like ad text with no watchlist match
Breyers Ice Cream 48 fl oz,Breyers Ice Cream 48 fl oz 2 for $5 ea Member Price,4,food-like ad text with no watchlist match
Odyssey Feta Cheese,Odyssey Feta Cheese 8 oz. Selected varieties. 6.99 ea Member Price,5,food-like ad text with no watchlist match
Kellogg's Large Size Cereal 12.3 to 18 oz. Kashi Cereal 12.3 to 16.3 oz.,Kellogg's Large Size Cereal 12.3 to 18 oz. Kashi Cereal 12.3 to 16.3 oz. Selected varieties. Limit 4 items.,6,food-like ad text with no watchlist match
Pringles Chips,Pringles Chips or Cheez-It Crackers 12-14 oz. Kellogg's Rice Krispies Treats 10.9 to 12.4 oz. Nutri Grain Bars 1st. Selected varieties.,6,food-like ad text with no watchlist match
Cheez-It Crackers 12-14 oz. Kellogg's Rice Krispies Treats 10.9 to 12.4 oz. Nutri Grain Bars 1st.,Pringles Chips or Cheez-It Crackers 12-14 oz. Kellogg's Rice Krispies Treats 10.9 to 12.4 oz. Nutri Grain Bars 1st. Selected varieties.,6,food-like ad text with no watchlist match
Laughing Cow Cheese Wedges,Laughing Cow Cheese Wedges 2 for $7 Member Price,7,food-like ad text with no watchlist match
Land O Lakes Butter Selected varieties 15-16 oz,Land O Lakes Butter Selected varieties 15-16 oz $3.49 Member Price,7,food-like ad text with no watchlist match
Califia Farms Almondmilk,Califia Farms Almondmilk or Oatmilk 48 oz $3.99 Member Price,7,food-like ad text with no watchlist match
Oatmilk 48 oz,Califia Farms Almondmilk or Oatmilk 48 oz $3.99 Member Price,7,food-like ad text with no watchlist match
Shamrock Rockin' Protein Milk 12 fl oz,Shamrock Rockin' Protein Milk 12 fl oz $3.99 Member Price,7,food-like ad text with no watchlist match
Chobani Zero Sugar Yogurt,Chobani Zero Sugar Yogurt 4-5.3 oz. Selected varieties. Member Price 3.49,8,food-like ad text with no watchlist match
Danish Creamery Butter,Danish Creamery Butter 16 oz. Selected varieties. Member Price 3.99,8,food-like ad text with no watchlist match
Boudin Sourdough Bread,Boudin Sourdough Bread 24 oz. Selected varieties. Member Price 5.99,8,food-like ad text with no watchlist match
